Sale Date,ticketsSold,cash,check,creditCard,misc,total,weekday,avgTkt,7D_avg,14D_avg,30D_avg,60D_avg,90D_avg,7D_tot,14D_tot,30D_tot,60D_tot,90D_tot
2019-07-14,16,199.54,0,180.0,1024.21,1403.75,Sunday,87.73,869.7785714285716,940.9250000000005,1101.648333333333,1186.5883333333327,1168.3095555555556,6088.450000000001,13172.950000000008,33049.44999999999,71195.29999999996,105147.86
2019-07-15,16,80.0,0,160.0,444.0,684.0,Monday,42.75,882.6357142857144,904.4607142857149,1053.848333333333,1185.121666666666,1157.662111111111,6178.450000000001,12662.450000000008,31615.44999999999,71107.29999999996,104189.59
2019-07-16,18,285.0,0,65.0,805.0,1155.0,Tuesday,64.17,913.3500000000001,960.1750000000005,1020.5566666666663,1193.4133333333327,1161.0432222222223,6393.450000000001,13442.450000000008,30616.69999999999,71604.79999999996,104493.89
2019-07-17,22,424.12,0,90.0,1150.88,1665.0,Wednesday,75.68,1035.3928571428573,1051.8892857142862,1036.723333333333,1190.4299999999994,1163.682111111111,7247.750000000001,14726.450000000008,31101.69999999999,71425.79999999996,104731.39
2019-07-18,17,206.55,0,319.0,1063.45,1589.0,Thursday,93.47,1158.8214285714287,1135.3892857142862,1057.1899999999996,1182.3633333333325,1171.2265555555555,8111.75,15895.450000000008,31715.69999999999,70941.79999999996,105410.39
2019-07-19,25,581.89,0,330.0,768.61,1680.5,Friday,67.22,1291.0357142857142,1170.2107142857149,1076.873333333333,1196.371666666666,1178.2876666666666,9037.25,16382.950000000008,32306.19999999999,71782.29999999996,106045.89
2019-07-20,15,215.0,0,0.0,1080.0,1295.0,Saturday,86.33,1353.1785714285713,1160.996428571429,1086.4566666666663,1193.321666666666,1186.932111111111,9472.25,16253.950000000008,32593.69999999999,71599.29999999996,106823.89
2019-07-21,22,180.0,0,65.0,1755.0,2000.0,Sunday,90.91,1438.357142857143,1154.0678571428577,1093.4649999999997,1196.5383333333327,1205.5432222222223,10068.5,16156.950000000008,32803.94999999999,71792.29999999996,108498.89
2019-07-22,18,113.05,0,165.0,754.95,1033.0,Monday,57.39,1488.2142857142858,1185.4250000000006,1068.5649999999996,1182.071666666666,1204.9376666666667,10417.5,16595.950000000008,32056.94999999999,70924.29999999996,108444.39
2019-07-23,13,0.0,0,145.0,754.0,899.0,Tuesday,69.15,1451.642857142857,1182.496428571429,1069.498333333333,1185.721666666666,1204.7765555555557,10161.5,16554.950000000008,32084.94999999999,71143.29999999996,108429.89
2019-07-24,30,160.0,0,100.0,1190.0,1450.0,Wednesday,48.33,1420.9285714285713,1228.160714285715,1080.8316666666663,1184.996666666666,1211.171,9946.5,17194.250000000007,32424.94999999999,71099.79999999996,109005.39
2019-07-25,15,270.0,0,0.0,572.0,842.0,Thursday,56.13,1314.2142857142858,1236.5178571428576,1076.3649999999996,1154.196666666666,1205.4098888888889,9199.5,17311.250000000007,32290.94999999999,69251.79999999996,108486.89
2019-07-26,13,264.0,0,0.0,606.25,870.25,Friday,66.94,1198.4642857142858,1244.7500000000005,1053.3566666666663,1142.2383333333325,1194.6737777777778,8389.25,17426.500000000007,31600.69999999999,68534.29999999996,107520.64
2019-07-27,17,149.0,0,40.0,1179.0,1368.0,Saturday,80.47,1208.892857142857,1281.035714285715,1079.723333333333,1145.5549999999994,1196.4071111111111,8462.25,17934.500000000007,32391.69999999999,68733.29999999996,107676.64
2019-07-28,15,225.0,0,0.0,1094.5,1319.5,Sunday,87.97,1111.6785714285713,1275.0178571428576,1100.773333333333,1160.3799999999994,1193.0015555555556,7781.75,17850.250000000007,33023.19999999999,69622.79999999996,107370.14
2019-07-29,18,200.0,0,50.0,690.0,940.0,Monday,52.22,1098.392857142857,1293.303571428572,1089.9399999999996,1163.4049999999993,1193.4432222222222,7688.75,18106.250000000007,32698.19999999999,69804.29999999996,107409.89
2019-07-30,11,227.05,0,49.0,740.95,1017.0,Tuesday,92.45,1115.25,1283.4464285714291,1099.3399999999997,1155.4883333333325,1189.809888888889,7806.75,17968.250000000007,32980.19999999999,69329.29999999996,107082.89
2019-07-31,18,95.0,0,0.0,1688.5,1783.5,Wednesday,99.08,1162.892857142857,1291.910714285715,1118.973333333333,1166.621666666666,1195.346,8140.25,18086.750000000007,33569.19999999999,69997.29999999996,107581.14
2019-08-01,9,195.0,0,0.0,345.0,540.0,Thursday,60.0,1119.75,1216.9821428571433,1124.473333333333,1157.8883333333326,1190.4904444444444,7838.25,17037.750000000007,33734.19999999999,69473.29999999996,107144.14
2019-08-02,21,415.0,0,154.0,579.0,1148.0,Friday,54.67,1159.4285714285713,1178.9464285714291,1150.0399999999997,1158.3741666666658,1184.3904444444445,8116.0,16505.250000000007,34501.19999999999,69502.44999999995,106595.14
2019-08-03,21,220.0,0,140.0,1054.5,1414.5,Saturday,67.36,1166.0714285714287,1187.4821428571433,1183.1899999999996,1160.549166666666,1180.796,8162.5,16624.750000000007,35495.69999999999,69632.94999999995,106271.64
2019-08-04,20,521.02,0,0.0,1008.48,1529.5,Sunday,76.47,1196.0714285714287,1153.8750000000005,1194.4066666666663,1170.549166666666,1189.1515555555557,8372.5,16154.250000000007,35832.19999999999,70232.94999999995,107023.64
2019-08-05,19,200.0,0,145.0,1084.0,1429.0,Monday,75.21,1265.9285714285713,1182.160714285715,1194.573333333333,1166.549166666666,1200.946,8861.5,16550.250000000007,35837.19999999999,69992.94999999995,108085.14
2019-08-06,19,249.0,0,120.0,940.0,1309.0,Tuesday,68.89,1307.642857142857,1211.4464285714291,1168.3066666666664,1173.3824999999993,1203.8654444444444,9153.5,16960.250000000007,35049.19999999999,70402.94999999995,108347.89
2019-08-07,19,175.0,0,0.0,1160.0,1335.0,Wednesday,70.26,1243.5714285714287,1203.2321428571433,1193.0066666666664,1169.4158333333326,1212.2265555555555,8705.0,16845.250000000007,35790.19999999999,70164.94999999995,109100.39
2019-08-08,17,230.0,0,0.0,826.0,1056.0,Thursday,62.12,1317.2857142857142,1218.5178571428576,1196.873333333333,1164.1158333333326,1211.234888888889,9221.0,17059.250000000007,35906.19999999999,69846.94999999995,109011.14
2019-08-09,23,650.0,0,0.0,1490.0,2140.0,Friday,93.04,1459.0,1309.2142857142862,1241.1833333333332,1182.1241666666658,1216.1182222222221,10213.0,18329.000000000007,37235.49999999999,70927.44999999995,109450.64
