,ClientId,ClientServiceId,Duration,EndDateTime,FirstAppointment,GenderPreference,Id,LocationId,Notes,ProgramId,ProviderId,SessionTypeId,StaffId,StaffRequested,StartDateTime,Status
94,100007178,101011.0,90,2020-01-06T19:00:00,False,None,116861,1,,2,0,1011,3,True,2020-01-06T17:30:00,Completed
95,100008360,100003.0,60,2020-01-06T20:00:00,True,None,116871,1,,2,0,5,3,False,2020-01-06T19:00:00,Completed
96,100008170,101011.0,90,2020-01-06T21:30:00,False,Female,116874,1,,2,0,1011,3,False,2020-01-06T20:00:00,Completed
97,100008355,101126.0,60,2020-01-06T16:30:00,True,None,116855,1,,4,0,1074,100000004,False,2020-01-06T15:30:00,Completed
98,100008357,101008.0,30,2020-01-06T18:15:00,True,None,116866,1,,4,0,1008,100000004,False,2020-01-06T17:45:00,Completed
99,100008361,101154.0,75,2020-01-06T19:45:00,True,None,116869,1,,21,0,1095,100000004,False,2020-01-06T18:30:00,Completed
100,100008355,101126.0,60,2020-01-06T16:30:00,True,None,116856,1,,4,0,1074,100000022,False,2020-01-06T15:30:00,Completed
101,100008358,101008.0,30,2020-01-06T18:15:00,True,None,116867,1,,4,0,1008,100000022,False,2020-01-06T17:45:00,Completed
102,100008361,102238.0,60,2020-01-06T19:30:00,True,None,116870,1,,4,0,2140,100000022,False,2020-01-06T18:30:00,Completed
103,100008170,101059.0,90,2020-01-06T21:30:00,False,Female,116873,1,,10,0,1051,100000022,False,2020-01-06T20:00:00,Completed
104,100008352,100003.0,60,2020-01-06T13:00:00,True,None,116851,1,,2,0,5,100000061,False,2020-01-06T12:00:00,Completed
105,100008353,101028.0,30,2020-01-06T16:30:00,True,None,116852,1,,5,0,1022,100000061,False,2020-01-06T16:00:00,Completed
106,100008359,101030.0,60,2020-01-06T19:30:00,True,None,116868,1,,5,0,1024,100000061,False,2020-01-06T18:30:00,Completed
107,100000001,101011.0,90,2020-01-06T21:30:00,False,None,116862,1,,2,0,1011,100000061,True,2020-01-06T20:00:00,Completed
654,100000599,102252.0,15,2020-01-05T11:15:00,False,None,116776,1,,8,0,2146,3,False,2020-01-05T11:00:00,Completed
655,100008171,101030.0,60,2020-01-05T13:00:00,False,None,116817,1,,5,0,1024,3,True,2020-01-05T12:00:00,Completed
656,100008343,101030.0,60,2020-01-05T15:15:00,True,None,116824,1,"Jacqueline Martinjma***@gmail.com•5184715, 49118505
",5,0,1024,3,False,2020-01-05T14:15:00,Completed
657,100000381,,45,2020-01-05T16:45:00,False,None,116836,1,,8,0,2124,3,False,2020-01-05T16:00:00,NoShow
658,100008346,101052.0,45,2020-01-05T17:45:00,True,None,116834,1,with oil,6,0,1044,3,False,2020-01-05T17:00:00,Completed
659,100000332,101011.0,90,2020-01-05T19:15:00,False,None,116831,1,,2,0,1011,3,False,2020-01-05T17:45:00,Completed
660,100007080,101206.0,60,2020-01-05T20:30:00,False,Female,116845,1,,21,0,1095,3,False,2020-01-05T19:30:00,Completed
661,100008350,102236.0,30,2020-01-05T21:00:00,True,None,116846,1,,4,0,2138,3,False,2020-01-05T20:30:00,Completed
662,100000599,102252.0,15,2020-01-05T11:15:00,False,None,116761,1,,8,0,2146,100000004,False,2020-01-05T11:00:00,Completed
663,100008342,101186.0,60,2020-01-05T14:30:00,True,None,116819,1,,19,0,1105,100000004,False,2020-01-05T13:30:00,Completed
664,100008103,101030.0,60,2020-01-05T15:45:00,False,None,116822,1,75142262,5,0,1024,100000004,False,2020-01-05T14:45:00,Completed
665,100000599,102252.0,15,2020-01-05T11:15:00,False,None,116775,1,,8,0,2146,100000022,False,2020-01-05T11:00:00,Completed
666,100008341,101131.0,90,2020-01-05T15:00:00,True,None,116816,1,,4,0,1079,100000022,False,2020-01-05T13:30:00,Completed
667,100007418,101007.0,60,2020-01-05T16:00:00,False,None,116781,1,,4,0,1007,100000022,True,2020-01-05T15:00:00,Completed
668,100007985,101030.0,60,2020-01-05T18:00:00,False,None,116828,1,,5,0,1024,100000022,False,2020-01-05T17:00:00,Completed
669,100008347,101009.0,30,2020-01-05T18:30:00,True,None,116837,1,,2,0,1009,100000022,False,2020-01-05T18:00:00,Completed
670,100008347,101008.0,30,2020-01-05T19:00:00,True,None,116838,1,,4,0,1008,100000022,False,2020-01-05T18:30:00,Completed
671,100008350,102236.0,30,2020-01-05T21:00:00,True,None,116849,1,,4,0,2138,100000022,False,2020-01-05T20:30:00,Completed
672,100007408,101186.0,60,2020-01-05T14:00:00,False,None,116823,1,,19,0,1105,100000033,False,2020-01-05T13:00:00,NoShow
673,100000599,102252.0,15,2020-01-05T11:15:00,False,None,116774,1,,8,0,2146,100000037,False,2020-01-05T11:00:00,Completed
674,100006376,101047.0,60,2020-01-05T14:00:00,False,None,116818,1,,7,0,1039,100000037,True,2020-01-05T13:00:00,Completed
675,100008343,101030.0,60,2020-01-05T15:30:00,True,None,116825,1,,5,0,1024,100000037,False,2020-01-05T14:30:00,Completed
676,100008344,100003.0,60,2020-01-05T17:00:00,True,None,116832,1,,2,0,5,100000037,False,2020-01-05T16:00:00,Completed
677,100008349,101186.0,60,2020-01-05T18:30:00,True,None,116844,1,,19,0,1105,100000037,False,2020-01-05T17:30:00,Completed
678,100001640,100003.0,60,2020-01-05T20:00:00,False,None,116843,1,,2,0,5,100000037,False,2020-01-05T19:00:00,Completed
679,100008350,102236.0,30,2020-01-05T21:00:00,True,None,116847,1,,4,0,2138,100000037,False,2020-01-05T20:30:00,Completed
680,100000599,102252.0,15,2020-01-05T11:15:00,False,None,116763,1,,8,0,2146,100000061,False,2020-01-05T11:00:00,Completed
681,100008317,101186.0,60,2020-01-05T12:15:00,True,None,116757,1,,19,0,1105,100000061,False,2020-01-05T11:15:00,Completed
682,100008342,101186.0,60,2020-01-05T14:30:00,True,None,116820,1,,19,0,1105,100000061,False,2020-01-05T13:30:00,Completed
683,100008345,101011.0,90,2020-01-05T16:15:00,True,Female,116833,1,,2,0,1011,100000061,False,2020-01-05T14:45:00,Completed
684,100005871,101030.0,60,2020-01-05T17:45:00,False,Female,116835,1,,5,0,1024,100000061,True,2020-01-05T16:45:00,Completed
685,100008348,101053.0,60,2020-01-05T19:00:00,True,Female,116841,1,,6,0,1045,100000061,False,2020-01-05T18:00:00,Completed
686,100008350,102236.0,30,2020-01-05T21:00:00,True,None,116848,1,,4,0,2138,100000061,False,2020-01-05T20:30:00,Completed
687,100008328,100003.0,60,2020-01-04T14:30:00,True,None,116784,1,,2,0,5,3,False,2020-01-04T13:30:00,Completed
688,100008329,102237.0,45,2020-01-04T15:30:00,True,None,116786,1,,4,0,2139,3,False,2020-01-04T14:45:00,Completed
689,100008334,100003.0,60,2020-01-04T17:00:00,True,None,116794,1,,2,0,5,3,False,2020-01-04T16:00:00,Completed
690,100007437,101109.0,90,2020-01-04T21:30:00,False,None,116788,1,,2,0,1011,3,True,2020-01-04T20:00:00,Completed
691,100008333,101126.0,45,2020-01-04T17:00:00,True,None,116793,1,,4,0,1074,100000001,False,2020-01-04T16:15:00,Completed
692,100004909,101093.0,60,2020-01-04T18:15:00,False,None,116796,1,,2,0,5,100000001,False,2020-01-04T17:15:00,Completed
693,100008335,100003.0,60,2020-01-04T20:00:00,True,None,116799,1,,2,0,5,100000001,False,2020-01-04T19:00:00,Completed
694,100008338,101009.0,15,2020-01-04T20:15:00,True,None,116813,1,,2,0,1009,100000001,False,2020-01-04T20:00:00,Completed
695,100007768,101093.0,60,2020-01-04T15:00:00,False,None,115968,1,bottle of CHAMPAGNE,5,0,1024,100000022,False,2020-01-04T14:00:00,Completed
696,100008327,101011.0,90,2020-01-04T16:30:00,True,None,116783,1,,2,0,1011,100000022,False,2020-01-04T15:00:00,Completed
697,100008334,101035.0,60,2020-01-04T17:30:00,True,None,116798,1,,10,0,1028,100000022,False,2020-01-04T16:30:00,Completed
698,100008336,102218.0,20,2020-01-04T18:35:00,True,None,116805,1,,19,0,2126,100000022,False,2020-01-04T18:15:00,Completed
699,100008337,101028.0,30,2020-01-04T19:45:00,True,None,116810,1,,5,0,1022,100000022,False,2020-01-04T19:15:00,Completed
700,100008340,100003.0,60,2020-01-04T21:30:00,True,None,116815,1,,2,0,5,100000022,False,2020-01-04T20:30:00,Completed
701,100008328,101035.0,60,2020-01-04T14:30:00,True,None,116785,1,,10,0,1028,100000055,False,2020-01-04T13:30:00,Completed
702,100008272,101030.0,60,2020-01-04T16:00:00,True,None,116638,1,,5,0,1024,100000055,False,2020-01-04T15:00:00,Completed
703,100008333,101126.0,45,2020-01-04T17:00:00,True,None,116792,1,,4,0,1074,100000055,False,2020-01-04T16:15:00,Completed
704,100008313,101031.0,90,2020-01-04T19:00:00,False,None,116789,1,,5,0,1025,100000055,False,2020-01-04T17:30:00,Completed
705,100008337,101008.0,30,2020-01-04T19:45:00,True,None,116809,1,,4,0,1008,100000055,False,2020-01-04T19:15:00,Completed
706,100008339,101053.0,60,2020-01-04T21:30:00,True,None,116814,1,,6,0,1045,100000055,False,2020-01-04T20:30:00,Completed
707,100008318,101011.0,90,2020-01-04T13:30:00,True,None,116760,1,,2,0,1011,100000061,False,2020-01-04T12:00:00,Completed
708,100007768,101093.0,60,2020-01-04T15:00:00,False,None,115967,1,bottle of CHAMPAGNE,5,0,1024,100000061,False,2020-01-04T14:00:00,Completed
709,100008327,101011.0,90,2020-01-04T16:30:00,True,None,116782,1,,2,0,1011,100000061,False,2020-01-04T15:00:00,Completed
710,100008334,101035.0,60,2020-01-04T17:30:00,True,None,116797,1,,10,0,1028,100000061,False,2020-01-04T16:30:00,Completed
711,100003795,101110.0,60,2020-01-04T19:00:00,False,None,116790,1,,2,0,5,100000061,True,2020-01-04T18:00:00,Completed
712,100008331,100003.0,30,2020-01-04T21:30:00,True,Female,116791,1,,2,0,5,100000061,False,2020-01-04T21:00:00,Completed
713,100008288,100003.0,60,2020-01-03T16:30:00,False,None,116758,1,,2,0,5,3,True,2020-01-03T15:30:00,Completed
714,100008320,101010.0,45,2020-01-03T18:15:00,True,None,116768,1,,2,0,1010,3,False,2020-01-03T17:30:00,Completed
715,100008321,101187.0,105,2020-01-03T20:30:00,True,None,116769,1,,21,0,1106,3,False,2020-01-03T18:45:00,Completed
716,100008324,100003.0,60,2020-01-03T21:30:00,True,None,116778,1,,2,0,5,3,False,2020-01-03T20:30:00,Completed
717,100008253,101008.0,30,2020-01-03T13:30:00,True,None,116583,1,,4,0,1008,100000004,False,2020-01-03T13:00:00,Completed
718,100008302,101030.0,60,2020-01-03T14:45:00,True,Female,116717,1,Rachelrhe***@gmail.com•58675977,5,0,1024,100000004,False,2020-01-03T13:45:00,Completed
719,100002523,101030.0,60,2020-01-03T17:00:00,False,Female,116755,1,,5,0,1024,100000004,True,2020-01-03T16:00:00,Completed
720,100007506,100003.0,60,2020-01-03T18:15:00,False,None,116508,1,,2,0,5,100000004,True,2020-01-03T17:15:00,Completed
721,100006126,102218.0,20,2020-01-03T18:50:00,False,None,116773,1,,19,0,2126,100000004,False,2020-01-03T18:30:00,Completed
722,100008313,101126.0,45,2020-01-03T13:15:00,True,None,116745,1,,4,0,1074,100000022,False,2020-01-03T12:30:00,Completed
723,100007637,101109.0,90,2020-01-03T15:45:00,False,None,116753,1,,3,0,1032,100000022,True,2020-01-03T14:15:00,Completed
724,100008314,101030.0,60,2020-01-03T18:00:00,True,None,116744,1,,5,0,1024,100000022,False,2020-01-03T17:00:00,Completed
